experiment	val_bpb	status	description	snapshot_file	timestamp
19	41.7454	kept	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06	exp_019_train.py	2026-04-02T21:04:32.727614
20	99.0000	error	FAILED: WSD linear-decay + SWA 40%/freq=5 (denser) + 1700 steps + min_lr=0.03 + label_smooth=0.04	exp_020_train.py	2026-04-02T21:14:09.546989
21	41.9256	discarded	WSD cosine-decay (vs linear) + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06	exp_021_train.py	2026-04-02T21:23:58.301108
22	41.9718	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.05	exp_022_train.py	2026-04-02T21:33:35.579388
23	41.9048	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + stable_end=75% + label_smooth=0.06 + min_lr=0.03	exp_023_train.py	2026-04-02T21:43:11.608508
24	99.0000	error	FAILED: EMA (decay=0.9999) alongside SWA — compare and pick best final model	exp_024_train.py	2026-04-02T21:52:54.517351
25	41.6640	kept	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06 + betas=(0.9,0.98)	exp_025_train.py	2026-04-02T22:02:37.987782
26	99.0000	error	FAILED: WSD linear-decay + SWA 40%/freq=8 + 2000 steps + min_lr=0.01 + label_smooth=0.06 + betas=(0.9,0.98)	exp_026_train.py	2026-04-02T22:12:29.556872
27	42.1777	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06 + betas=(0.9,0.98) + LR=6e-4	exp_027_train.py	2026-04-02T22:22:18.870432
28	41.9518	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06 + betas=(0.9,0.98) + WD=0.05	exp_028_train.py	2026-04-02T22:31:54.937532
29	99.0000	error	FAILED: WSD linear-decay + SWA 30%/freq=4 (earlier+denser) + 1700 steps + min_lr=0.03 + label_smooth=0.06 + betas=(0.9,0.98)	exp_029_train.py	2026-04-02T22:41:37.699286
30	42.0520	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.07 + betas=(0.9,0.98)	exp_030_train.py	2026-04-02T22:51:19.165259
31	42.0196	discarded	WSD linear-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.03 + label_smooth=0.06 + betas=(0.9,0.98) + warmup=200	exp_031_train.py	2026-04-02T23:01:03.605535
32	42.2696	discarded	WSD cosine-decay + SWA 40%/freq=8 + 1700 steps + min_lr=0.01 + label_smooth=0.06 + betas=(0.9,0.98)	exp_032_train.py	2026-04-02T23:10:58.992646
